generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
1,231,1,2168.67,90.1229,780,0,0,26,0,0.256,0.313,0.05,0.091,0.1518,1.82462,118.4,4.70077,12.68,88.4
1,219,1,2161.24,90.1229,780,0,0,26,0,0.349,0.259,0.105,0.051,0.1797,1.52383,132.35,5.04535,15.47,102.35
1,63,1,1928.4,90.1229,660,0,0,22,0,0.255,0.259,0.052,0.094,0.1515,1.59687,118.25,4.40527,12.65,88.25
1,131,1,1925.7,90.1229,660,0,0,22,0,0.331,0.267,0.072,0.054,0.1743,1.56987,129.65,4.87926,14.93,99.65
1,109,1,1901.03,90.1229,660,42.042,0,22,0,0.339,0.338,0.099,0.072,0.1767,1.84625,130.85,5.45249,15.17,100.85
1,88,1,1889.78,90.1229,660,53.7264,0,22,0,0.292,0.293,0.139,0.059,0.1626,1.70833,123.8,5.11734,13.76,93.8
1,307,1,1868.54,90.1229,630,0,0,21,0,0.309,0.328,0.051,0.068,0.1677,1.83594,126.35,5.05111,14.27,96.35
1,271,1,1836.19,90.1229,630,57.3885,0,21,0,0.345,0.292,0.078,0.082,0.1785,1.65778,131.75,5.11944,15.35,101.75
1,26,1,1813.35,90.1229,630,91.176,0,21,0,0.324,0.349,0.122,0.1,0.1722,1.90577,128.6,5.53446,14.72,98.6
1,398,1,1799.34,90.1229,600,0,0,20,0,0.315,0.282,0.119,0.133,0.1695,1.64351,127.25,5.08198,14.45,97.25
1,213,1,1798.26,90.1229,600,0,0,20,0,0.296,0.288,0.127,0.116,0.1638,1.68426,124.4,5.05949,13.88,94.4
1,241,1,1793.92,90.1229,600,22.473,0,20,0,0.254,0.323,0.076,0.134,0.1512,1.86887,118.1,4.85025,12.62,88.1
1,296,1,1783.12,90.1229,600,48.6675,0,20,0,0.315,0.297,0.059,0.093,0.1695,1.70434,127.25,4.93033,14.45,97.25
1,340,1,1755.56,90.1229,600,89.466,0,20,0,0.281,0.259,0.112,0.072,0.1593,1.57666,122.15,4.76367,13.43,92.15
1,250,1,1748.4,90.1229,570,0,0,19,0,0.347,0.318,0.052,0.107,0.1791,1.75896,132.05,5.18308,15.41,102.05
1,166,1,1748.13,90.1229,570,0,0,19,0,0.288,0.304,0.054,0.087,0.1614,1.75734,123.2,4.82131,13.64,93.2
1,47,1,1723.59,90.1229,570,43.134,0,19,0,0.255,0.312,0.076,0.087,0.1515,1.82132,118.25,4.79436,12.65,88.25
1,278,1,1721.94,90.1229,570,52.11,0,19,0,0.25,0.315,0.055,0.132,0.15,1.83875,117.5,4.7025,12.5,87.5
1,389,1,1715.76,90.1229,570,50.1493,0,19,0,0.329,0.337,0.108,0.116,0.1737,1.85238,129.35,5.43224,14.87,99.35
1,38,1,1714.64,90.1229,570,56.9835,0,19,0,0.269,0.252,0.091,0.056,0.1557,1.55664,120.35,4.58573,13.07,90.35
1,207,1,1708.81,90.1229,570,65.1168,0,19,0,0.332,0.329,0.104,0.117,0.1746,1.81732,129.8,5.38337,14.96,99.8
1,259,1,1687.05,90.1229,540,0,0,18,0,0.299,0.277,0.062,0.103,0.1647,1.63653,124.85,4.74994,13.97,94.85
1,152,1,1682.32,90.1229,540,0,0,18,0,0.314,0.294,0.097,0.078,0.1692,1.69305,127.1,5.0599,14.42,97.1
1,25,1,1681.1,90.1229,540,0,0,18,0,0.315,0.269,0.106,0.062,0.1695,1.5908,127.25,4.95341,14.45,97.25
1,382,1,1680.95,90.1229,540,5.43237,0,18,0,0.303,0.281,0.087,0.109,0.1659,1.64957,125.45,4.89186,14.09,95.45
