generation,totalBlobs,survivors,totalKills,totalFoodEaten,bestFitness,avgFitness,avgSize,avgSpeed,avgPredation,avgAggression,avgTimeAlive,avgEnergyGained
1,400,121,0,3210,2168.67,2470.91,0.978719,0.992017,0.323223,0.324785,212.489,795.923
2,400,37,15,2339,1996.31,5895.51,3.19084,3.16554,1.03195,1.01889,640.664,1911.9
3,400,14,11,846,1540.07,7416.17,8.19678,8.17014,2.7855,2.70121,1232.02,1915.47
4,400,17,15,899,1963.35,6745.74,6.8263,6.49877,2.33677,2.31153,1020.44,1733.23
5,400,21,25,925,1559.36,5746.04,5.46462,4.70852,1.67995,2.3261,864.915,1428.59
6,400,24,33,947,1780.82,5447.26,4.83429,3.62754,1.39246,2.20654,768.374,1320.69
7,400,27,25,944,1598.81,4698.65,4.53748,2.97237,1.42474,2.34633,690.692,1147.67
8,400,30,52,953,2327.89,4742.54,4.2479,2.2962,1.21773,2.51543,638.055,1095.13
9,400,29,68,968,2112.86,5337.15,4.9179,1.88828,1.29797,3.06497,658.785,1215.17
10,400,16,121,933,2284.22,11228.1,11.2806,3.27919,2.12187,6.75325,1152.76,2459.69
11,400,21,165,906,3294.99,9687.03,10.6816,2.64957,1.85333,5.92819,815.013,2060.43
12,400,13,213,841,3307.59,17313.9,19.4178,3.79223,3.54715,11.6805,1234.61,3568.17
13,400,18,220,816,3317.69,13174.7,16.0743,2.63561,2.77528,9.20049,878.571,2676.95
14,400,11,221,714,3332.6,21351.6,29.3926,4.23755,4.853,16.8153,1437.63,4268.85
15,400,11,183,621,4679.42,19513.6,31.6781,4.15509,5.74327,18.3695,1444.01,3889.16
16,400,24,207,744,4258.98,9977.45,15.5173,1.80542,3.34021,9.55359,658.618,2034.99
17,400,49,180,1501,4136.34,5877.77,7.93232,0.970408,2.02086,5.16912,364.594,1436.36
18,400,400,0,6,849.48,590.777,0.983688,0.109438,0.277685,0.664015,90.2798,4.51875
19,400,46,208,1933,5794.89,7310.79,8.46028,1.10285,1.77239,5.86102,416.537,1880.32
20,400,400,0,9,856.28,597.167,0.979463,0.13299,0.29134,0.729068,90.7202,6.3625
21,400,29,246,1497,4762.37,10849.8,13.4481,2.11193,3.172,10.0982,562.802,2620.73
22,400,17,320,867,3809.11,17534.3,23.1244,3.18018,7.24976,18.1535,638.87,3708.61
23,400,14,335,532,3725.1,19788.7,28.139,4.34893,10.4631,22.4007,622.274,3843.25
24,400,8,340,395,3355.8,33381.9,49.2414,8.30575,19.2188,41.8618,1004.87,6262.56
25,400,6,355,336,3199.55,44221.8,65.9332,12.2232,27.3127,57.6337,1161.13,8139.82
26,400,8,338,325,3852.81,32426.7,49.3531,10.0776,19.8715,44.4669,933.87,5953.83
27,400,12,358,359,3278.27,22756.4,32.9511,6.4825,13.7462,29.8143,580.759,4188.9
28,400,9,360,316,3433.14,30063.6,43.8711,8.58866,18.2083,39.6718,789.777,5439.88
